sentence_id	token_id	token	surprisal
21	37	cunning	11.9399
21	38	,	0.48285
21	39	came	3.45548
21	40	on	3.47671
21	41	the	1.86736
21	42	scene	6.12329
21	43	.	6.11742
22	1	Seeing	10.6347
22	2	the	2.0144
22	3	slain	11.8563
22	4	carcass	11.4935
22	5	of	2.26405
22	6	the	1.38038
22	7	boar	14.9615
22	8	,	1.64316
22	9	the	2.52234
22	10	UNK-LC	5.71611
22	11	rejoiced	14.3723
22	12	in	3.46595
22	13	his	3.98952
22	14	good	8.60399
22	15	fortune	6.78533
22	16	.	2.77936
23	1	The	1.78328
23	2	second	6.83015
23	3	UNK-LC	7.74566
23	4	knew	11.8064
23	5	a	3.27337
23	6	shortcut	9.80793
23	7	to	2.97403
23	8	the	1.64184
23	9	Manor	13.2484
23	10	House	9.6227
23	11	was	10.1905
23	12	just	6.99508
23	13	around	8.3584
23	14	the	0.937217
23	15	nearby	7.10987
23	16	pond	8.17048
23	17	,	1.48776
23	18	and	1.11063
23	19	,	5.13215
23	20	being	8.98159
23	21	a	3.23461
23	22	bigger	7.36268
23	23	man	3.93922
23	24	than	3.45897
23	25	the	2.1331
23	26	first	5.22965
23	27	,	3.53306
23	28	was	3.05328
23	29	able	6.70127
23	30	to	0.015053
23	31	pick	6.36066
23	32	up	0.448823
23	33	the	1.97757
23	34	boar	13.6295
23	35	's	5.08927
23	36	head	6.98961
23	37	and	3.53152
23	38	carry	10.8055
23	39	it	6.78024
23	40	through	4.32223
23	41	the	1.6904
23	42	wood	10.4646
23	43	towards	12.7864
23	44	the	2.05084
23	45	prize	9.55872
23	46	that	4.41433
23	47	awaited	12.6802
23	48	him	5.232
23	49	.	2.63548
24	1	The	1.78328
24	2	Lord	11.6194
24	3	of	7.31927
24	4	the	1.82749
24	5	Manor	11.4118
24	6	was	8.96014
24	7	seated	8.8383
24	8	in	1.47416
24	9	his	3.80878
24	10	hall	8.57841
24	11	when	4.44177
24	12	the	2.63314
24	13	second	7.46384
24	14	UNK-LC	5.79964
24	15	burst	9.43736
24	16	through	3.32083
24	17	the	1.55971
24	18	door	6.01044
24	19	and	3.04367
24	20	began	4.31495
24	21	to	1.96233
24	22	spin	9.44386
24	23	a	3.82061
24	24	line	6.91546
24	25	.	2.37315
25	1	UNK-CAPS	6.29689
25	2	woes	15.0615
25	3	of	6.35307
25	4	Bradford	13.5333
25	5	are	3.99388
25	6	ended	11.8083
25	7	!	10.6894
25	8	'	5.68622
25	9	he	7.52355
25	10	announced	10.5655
25	11	.	1.9436
26	1	UNK-CAPS	6.29689
26	2	my	17.3438
26	3	own	4.13128
26	4	hand	7.50367
26	5	I	7.02473
26	6	have	2.93217
26	7	slain	13.2098
26	8	the	4.42884
26	9	boar	13.7964
26	10	!	6.83187
26	11	'	3.41611
26	12	And	8.72075
26	13	,	4.06786
26	14	with	4.50877
26	15	that	4.54794
26	16	,	1.12777
26	17	at	5.85001
26	18	the	1.66649
26	19	feet	9.297
26	20	of	1.16073
26	21	his	4.23296
26	22	lord	12.4577
26	23	he	4.82703
26	24	dropped	8.3247
26	25	the	3.35885
26	26	boar	13.2648
26	27	's	4.89685
26	28	enormous	8.4122
26	29	head	7.86272
26	30	.	1.17409
27	1	UNK-CAPS	6.29689
27	2	you	13.0553
27	3	will	4.03167
27	4	be	2.37523
27	5	rewarded	6.97679
27	6	,	3.02392
27	7	as	3.70252
27	8	I	3.27882
27	9	promised	9.09043
27	10	.	2.4299
28	1	'	9.18341
28	2	UNK-CAPS	7.13494
28	3	first	10.4624
28	4	,	4.04888
28	5	let	8.5562
28	6	me	2.4566
28	7	examine	8.8602
28	8	the	1.72073
28	9	head	8.21758
28	10	of	0.420835
28	11	this	4.19924
28	12	monster	7.70694
28	13	,	1.43289
28	14	'	4.29152
28	15	said	4.8238
28	16	the	3.74563
28	17	Lord	9.35289
28	18	of	4.57334
28	19	the	1.46868
28	20	Manor	11.3233
28	21	.	4.87398
29	1	To	5.63552
29	2	not	9.64368
29	3	examine	9.87458
29	4	the	1.16001
29	5	head	8.26458
29	6	in	5.33064
29	7	advance	6.22131
29	8	had	9.52873
29	9	not	4.88923
29	10	been	1.08682
29	11	very	6.65472
29	12	clever	7.23399
29	13	on	5.29205
29	14	the	0.952775
29	15	part	4.61546
29	16	of	0.0810554
29	17	the	0.698198
29	18	UNK-LC	6.3813
29	19	.	1.36953
30	1	Right	9.14294
30	2	away	5.66719
30	3	,	0.204581
30	4	the	1.97566
30	5	Lord	10.5187
30	6	noticed	9.88629
30	7	the	2.55671
30	8	tongue	9.69573
30	9	of	2.45832
30	10	the	1.60564
